VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1000000215,24289.0,589384.1099999868,83460.59921264648,19124.350106716156,123780.21999999997,-941041.9900000347,-159.6653140173826,0.2605976074244944,0.38511112036051826
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.9600000305,17046.0,495535.53999998485,87634.87931060791,31320.109907865524,257032.07000000007,-1002626.4200000456,-202.33188925260058,0.25463834364076365,0.3307623295948422
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001,1478001.420000022,17779.0,533192.2099999856,91649.43930053711,32666.39989554882,89286.26999999999,-944809.2100000364,-177.19861473596208,0.25766293242126925,0.36075216355338663
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668,1460072.3599999887,50441.0,514387.58999999467,34054.689237594604,5671.019997790456,17587.59,-945684.769999994,-183.846731216825,0.23388263441957083,0.35230280641707284
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951,1452173.3099999838,8166.0,400126.339999992,127646.954372406,6429.300058364868,68054.70000000003,-1052046.9699999918,-262.9286964712228,0.19012362925193826,0.2755362168169834
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596,1414552.9200000092,10843.0,651699.5699999873,118886.25331497192,19923.599979877472,257032.07000000007,-762853.350000022,-117.05598486125086,0.34317635143689074,0.46071063216212726
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645,1399080.1500000013,14996.0,449730.03999999404,96207.91926574707,27552.83986532688,123780.21999999997,-949350.1100000073,-211.09332834427067,0.24727512573171737,0.32144694498023835
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249,1396130.770000004,27115.0,789102.849999985,96474.89930725098,49821.26968884468,257032.07000000007,-607027.920000019,-76.92633729557949,0.42202991486248814,0.5652069755614532
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546,1373128.4800000344,12837.0,479094.6299999886,113866.50511932373,23585.949958324432,257032.07000000007,-894033.8500000458,-186.60903170633893,0.2699911664493333,0.34890735788975596
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078,1317439.4799999988,72.0,1511.2800000000002,209.89999771118164,132.29999816417694,257032.07000000007,-1315928.1999999988,-87073.75205124124,0.0009104934368598094,0.0011471342880964837
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.6200000057,11114.0,336709.8599999949,85719.70940589905,20420.25000309944,89286.26999999999,-946760.7600000107,-281.1799927688559,0.19379588135800102,0.26234325488494115
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277758.760000023,7670.0,383775.29999999434,114271.1738319397,14092.340020298958,89286.26999999999,-893983.4600000287,-232.94450163938168,0.2297232538636636,0.30035035721452413
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936,1208990.7200000167,13216.0,321572.33999999677,73144.53931427002,24282.269954919815,18544.489999999998,-887418.3800000199,-275.9622858110336,0.21338155515370705,0.2659841259989095
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205942.9200000067,17285.0,506898.14999999024,60805.57990646362,18149.24983215332,89286.26999999999,-699044.7700000164,-137.90635653336471,0.2886702962690805,0.420333451603155
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480,1193404.80000003,19777.0,318969.2299999991,56245.09920120239,36337.399765491486,123880.96999999999,-874435.570000031,-274.1441768536838,0.19488569176192352,0.2672766441026474
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473,1190145.3300000117,20506.0,324673.93999999756,54709.549211502075,37676.939781069756,123880.96999999999,-865471.3900000141,-266.5663249720691,0.2103762067444318,0.2728019274755247
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088,1163442.7199999734,10027.0,269285.72999999905,78196.8793334961,18422.63003027439,38994.78000000001,-894156.9899999744,-332.04766921736905,0.1696960465746006,0.23145594138059947
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389,1106876.6099999847,24543.0,491442.56999999523,68713.6992149353,45094.96958041191,89286.26999999999,-615434.0399999896,-125.23010369248139,0.321289714487688,0.44399038299309806
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380,1098336.0000000028,16810.0,675891.8999999881,92237.22382354736,1887.9100055545568,48347.26,-422444.10000001465,-62.50172549782326,0.41629519564140666,0.6153780810243736
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952,1073853.4400000074,23527.0,470516.72999999457,67110.45923233032,18524.34011489153,257032.07000000007,-603336.7100000128,-128.22853504061794,0.3224997258471324,0.43815730571202655
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066,1034996.3799999938,10194.0,196818.06000000163,57202.73933029175,18729.26999759674,38994.78000000001,-838178.3199999921,-425.86453702469436,0.1322762307632419,0.1901630419229126
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382,1029112.6799999664,13834.0,276941.66000000085,65207.459255218506,25416.999962329865,20964.809999999998,-752171.0199999656,-271.599086970145,0.2115872870208926,0.26910722740294085
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829,1014484.2900000048,9937.0,497305.62999999535,40408.961349487305,1116.5699981600046,48347.26,-517178.66000000946,-103.99614016033043,0.33313218679808243,0.4902053535003415
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,46163,980963.75,7581.0,201881.18999999954,65516.46943855286,13929.25004017353,123780.21999999997,-779082.5600000005,-385.91141651186143,0.16422242921820507,0.20579882793834078
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954,976289.3999999905,17830.0,249709.7000000009,48263.549211502075,14037.70009046793,50293.62000000002,-726579.6999999896,-290.96975407843064,0.2027196034290652,0.2557742611975541
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,61639,975128.9800000095,10859.0,235469.40999999965,59292.71937561035,19951.80000257492,123780.21999999997,-739659.5700000098,-314.1212992379821,0.17617093074190043,0.24147514311388565
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294,967725.9800000013,85.0,1669.1500000000003,373.8099956512451,156.15999937057495,89286.26999999999,-966056.8300000012,-57877.17281250942,0.0012446188537792485,0.0017248167709623733
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,69299,953554.2399999768,17301.0,328545.9899999979,65249.63921356201,13621.120093226433,144929.24,-625008.2499999789,-190.23463046984165,0.24965728221186453,0.3445488218897814
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,52932,843206.7599999951,11464.0,270518.35999999876,72259.85931015015,9025.540063560009,68601.68000000001,-572688.3999999964,-211.70038144545865,0.21657976271442606,0.32082090992724055
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,26.99,750.0,41048,839431.6000000037,11967.0,302772.32999999775,80521.2292728424,9421.47007381916,123880.96999999999,-536659.270000006,-177.24845265748357,0.29153673747807446,0.360687315083202
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,23.99,1750.0,44198,757553.7200000103,9734.0,239295.66000000134,70601.33934402466,17884.73000538349,50293.62000000002,-518258.060000009,-216.5764560878397,0.22023620978324812,0.3158794600071373
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,13759,742435.6400000077,2928.0,204930.71999999892,95606.33708190918,5380.500052213669,123780.21999999997,-537504.9200000088,-262.28616187949353,0.21280616323860746,0.27602489557208865
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,22.99,750.0,41893,736897.8699999982,11053.0,254298.47000000055,70116.52930259705,8701.98007184267,257032.07000000007,-482599.3999999977,-189.7767611421322,0.26383882748907933,0.34509323524032054
17035,PERNOD RICARD USA,5365,Kahlua,14.84,18.99,750.0,48583,720971.7199999975,13478.0,256038.2200000015,60990.89926528931,10611.070080757141,123780.21999999997,-464933.49999999604,-181.5875379855372,0.2774221435481547,0.3551293523690532
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,19.99,1750.0,50962,710919.9000000035,17378.0,301542.21999999584,51943.9393119812,31929.799835681915,257032.07000000007,-409377.6800000077,-135.76131395464733,0.34099917585652056,0.42415779893064515
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,17.99,1750.0,48481,692308.6800000105,12230.0,207880.20000000056,50221.949323654175,22470.180031895638,79528.99,-484428.48000001,-233.0325254641898,0.25226377343701656,0.3002709716134101
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,9.62,12.99,1750.0,71899,691668.3799999709,14691.0,190836.09000000186,43854.23922729492,26991.55992770195,50293.62000000002,-500832.28999996907,-262.44107705202106,0.20432829385666004,0.2759069165486644
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9.41,12.99,1750.0,73227,689066.0700000038,14736.0,191199.64000000144,42315.399253845215,27074.789976596832,79528.99,-497866.4300000024,-260.39088253513376,0.20123724855586053,0.2774764980083846
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750.0,80030,675453.2000000181,23020.0,305739.13999999926,39227.59934711456,2586.5000047832727,144929.24,-369714.06000001886,-120.92467454445635,0.2876421341996751,0.4526429662336207
9552,M S WALKER INC,3893,Zhenka 80 Proof,7.93,9.99,1750.0,81447,645874.709999989,13915.0,139010.85000000164,30769.199295043945,25565.919935941696,55551.819999999985,-506863.8599999874,-364.6217975071596,0.17084729947082153,0.2152288173661483
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,19.84,29.99,1000.0,32554,645871.359999999,7883.0,229081.17000000054,51854.47959899902,8277.149947166443,68601.68000000001,-416790.18999999855,-181.939960407919,0.2421515021195552,0.35468544386300216
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13.48,16.99,1750.0,47654,642375.9200000195,8885.0,171165.15000000127,50589.99940490723,16324.80004644394,257032.07000000007,-471210.7700000182,-275.2959758455589,0.1864481470600579,0.26645636094204167
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7.19,10.49,1750.0,86887,624717.5300000095,15922.0,167021.78000000154,34428.179248809814,29253.629947185516,17932.329999999994,-457695.7500000079,-274.0335721484969,0.1832495079816313,0.2673556799342561
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6.03,8.99,1500.0,101547,612328.4100000054,23130.0,220724.70000000115,29910.859287261963,5199.39000415802,79528.99,-391603.71000000427,-177.41725778764325,0.22777630062926527,0.36046784110506846
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,19.83,28.99,750.0,30830,611358.9000000008,4762.0,119002.38000000159,28563.56973838806,3750.340005993843,257032.07000000007,-492356.51999999926,-413.7367000559087,0.15445994161530976,0.194652241097662
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11.19,13.99,750.0,54552,610436.8800000268,16970.0,256230.30000000095,49947.13924789429,13360.930102348328,257032.07000000007,-354206.5800000258,-138.23758548463024,0.3110793371462091,0.4197490492382926
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18.1,22.99,750.0,33715,610241.4999999967,7393.0,180413.07000000085,62923.369413375854,5821.230053901672,68601.68000000001,-429828.42999999586,-238.24683544268373,0.21927925255820852,0.29564208596105285
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34.3,51.99,1750.0,17537,601519.0999999947,3490.0,180117.10000000047,87855.99285507202,6412.850070595741,123880.96999999999,-421401.9999999943,-233.96001823257936,0.19900781205451332,0.29943704198254395
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.59,9.95,750.0,91140,600612.5999999961,10896.0,121232.64000000137,23774.429530143738,1223.1000022739172,144929.24,-479379.9599999948,-395.4215300433855,0.1195523370638578,0.2018483128725607
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,6.75,9.99,1500.0,88752,599076.0,20815.0,211414.61000000124,32193.449295043945,4678.749998152256,13605.409999999998,-387661.38999999873,-183.36546845083055,0.2345299260861727,0.3529011511060387
8112,MOET HENNESSY USA INC,4689,Hennessy Privilege VSOP,33.33,45.99,750.0,17838,594540.5400000018,6189.0,290953.1099999975,42614.94152069092,4873.7700244784355,48347.26,-303587.4300000043,-104.3423904284807,0.3469559367642112,0.48937471951029043
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,16.54,23.99,1000.0,35922,594149.8799999933,8728.0,210622.72000000058,53701.749490737915,9164.39990067482,144929.24,-383527.1599999927,-182.0920174233775,0.24297088135404488,0.3544942565670517
17035,PERNOD RICARD USA,3625,Absolut 80 Proof,12.59,16.99,750.0,45969,578749.7099999987,9300.0,167307.00000000146,49130.689374923706,7322.44004958868,123780.21999999997,-411442.7099999972,-245.9207982929547,0.20231025256150884,0.28908351418439904
8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,23.97,34.99,750.0,24088,577389.3600000012,10003.0,351309.9699999967,66846.02318572998,1122.2599987983704,48347.26,-226079.39000000444,-64.35325191596655,0.4152690136167386,0.6084455210605129
12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,22.55,29.99,750.0,25540,575926.9999999952,5123.0,158761.77000000153,73136.39945983887,4033.740049958229,123880.96999999999,-417165.2299999937,-262.7617656316062,0.20058731401722787,0.2756630093744569
7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,22.05,29.99,750.0,25361,559210.0499999939,4812.0,144423.88000000166,63492.849546432495,3789.130039036274,16978.669999999995,-414786.16999999224,-287.2005446744593,0.18974015220220022,0.25826409950966234
7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,27.77,34.99,750.0,19910,552900.6999999961,5628.0,197091.7199999987,48118.26230621338,4432.060029327869,16978.669999999995,-355808.9799999974,-180.5296437617977,0.2826720241084882,0.3564685665979444
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,11.89,19.99,750.0,46257,549995.7299999988,14486.0,272288.8599999996,42705.740591049194,1626.0400019586086,144929.24,-277706.86999999924,-101.98980230039514,0.3131634131050436,0.4950744981238312
